32x aburner	冲破火网2 (欧洲)
pcecd dungexp2j	地牢探索2 (日本)
pcecd dynheroj	超英雄传说-王朝的英雄 (日本)
pcecd eferajil	暗黑战记 (日本)
pcecd eiyu3gok	英雄三国志 (日本)
pcecd elfeen	迷宫的精灵 (日本)
pcecd emeraldd	翡翠龙 (日本)
pcecd exile	放逐-时之狭间 (美国)
pcecd exile2j	流放2 (日本)
pcecd f1circus	F1竞技场特别版 (日本)
pcecd faussete	月光少女战士 (日本)
pcecd fiendhun	邪鬼猎人 (日本)
pcecd flashhid	闪电斗士 (日本)
pcecd forgottn	失落的世界 (美国)
pcecd forgottnj	失落的世界 (日本)
pcecd fstreet	快打旋风 (美国)
pcecd fstreetj	快打旋风 (日本)
pcecd fzone2	最终战区2 (美国)
pcecd fzone2j	最终战区2 (日本)
pcecd galaxyde	银河刑警 (日本)
pcecd garou2	餓狼伝説2 [Imperfect] (日本)
pcecd garou2s	餓狼伝説2 体験版 (日本)
pcecd garousp	饿狼传说 Special (日本)
pcecd gatethun	雷霆之门 (日本)
pcecd genchohi	苍狼与白鹿-元朝秘史 (日本)
pcecd genocide	大屠杀 (日本)
pcecd gground	大地枪声SX (日本)
pcecd godzilla	哥斯拉君-怪兽大行进 (美国)
pcecd gogobird	Go! Go! 高尔夫 (日本)
pcecd goldnaxe	战斧 (日本)
pcecd gradius2	宇宙巡航舰2 (日本)
pcecd gsmikami	GS 美神 (日本)
pcecd gulcligh	地球防卫军2 (日本)
pcecd gulliver	空想科学世界 (日本)
pcecd hatsukoi	初恋 物语 (日本)
pcecd hawkf123	鹰F-123 (日本)
pcecd hellfire	地狱火S (日本)
pcecd highgrnd	装甲对决飞火流星 (日本)
pcecd hilegfan	勇者斗色龙 (GECD)(日本)
pcecd himitsu	秘密の花園 (日本)
pcecd horrorst	恶魔的世界 (日本)
pcecd humanspt	运动大集合 (日本)
pcecd hyperwar	世纪战争 (日本)
pcecd idolpai	美少女雀士偶像派 (GECD)(日本)
pcecd iganin	伊賀忍伝 凱王 (日本)
pcecd itcame	它来自沙漠 (美国)
pcecd jantei	雀侦物语 (日本)
pcecd jongmstr	雀神传说 - 寻找麻将大师 (日本)
pcecd juuouki	兽王记 (日本)
pcecd kagami	镜之国的传说 (日本)
pcecd kazekiri	风雾忍者行动 (日本)
pcecd kiaidan	双零机械战神 (日本)
pcecd kickbox	踢拳 (日本)
pcecd kisoulo2	机装铠卡鲁2 (日本)
pcecd kisoulou	机装铠卡鲁 (日本)
pcecd ladyphan	幻影女郎 (日本)
pcecd langriss	梦幻模拟战光辉的末裔 (日本)
pcecd laplace	拉普拉斯恶魔 (日本)
pcecd lastarmg	末日战记 (日本, BRCD0001-6-0625-R1F)
pcecd lastarmg2	末日战记 (日本, BRCD0001-7-0904-R1D)
pcecd ldis	空战奇兵 (日本)
pcecd legion	电光火石 (日本)
pcecd lemmings	旅鼠总动员 (日本)
pcecd lordthun	雷霆之王 (美国)
pcecd madden	约翰·马登足球 (美国)
pcecd madoum	魔導物語I 炎の卒園児 [Imperfect] (日本)
pcecd madstlkr	狂热高达对战 - 全金属力量 (日本)
pcecd magicoal	魔法之旅 (日本)
pcecd mastmons	怪物主人 (日本)
pcecd matekida	魔笛传说 (日本)
pcecd megamipa	女神天国 (日本)
pcecd metamorj	火星战机 (日本)
pcecd metlfant	法斯安斯的邪皇帝 (日本)
pcecd mightmag	魔法门-心灵圣地的秘密 (日本)
pcecd mightmg3	魔法门3 (美国)
pcecd mightmg3j	魔法门3 (日本)
pcecd mjbeach	沙滩麻将 (日本)
pcecd mjclinic	麻将特别诊疗所 (日本)
pcecd mjlemang	麻将柠檬天使 (日本)
pcecd mjsword	麻将剑公主任务外传 (ACD, SCD)(日本)
pcecd mlair	魔窟 (美国)
pcecd mlairj	神奇小子 3 - 怪物巢穴 (日本)
pcecd monstmkr	怪兽制造厂-闇之龙骑士 (日本)
pcecd moonligh	月光淑女 (日本)
pcecd motteke	蛋蛋乐 [Imperfect] (日本)
pcecd mtlchamp	武术冠军 (日本)
pcecd mysticf	神秘配方 (日本)
pcecd nadia	不可思议的海之娜蒂亚 (日本)
pcecd neksoccr	热血高校足球 (日本)
pcecd neonectr	太空模拟战 (日本)
pcecd nexzr	魔星战机 (日本)
pcecd nkhokuon	北斗星の女 西村京太郎 (日本)
pcecd nobubufu	信长野望-武将风云录 (日本)
pcecd nobuzenk	信长的野望：全国版 (日本)
pcecd noriko	小川範子 No・Ri・Ko (日本)
pcecd pachikn2	柏青哥君笑着的宇宙 (日本)
pcecd pachikun	柏青哥君幻的传说 (日本)
pcecd panicbom	炸弹人：燃烧炸弹 (日本)
pcecd pompingw	魔鬼气球 (日本)
pcecd popnmagi	流行魔法 (日本)
pcecd ppersia	波斯王子 (美国)
pcecd ppersiaj	波斯王子 (日本)
pcecd princesm	密涅瓦公主 (日本)
pcecd prinmak	美少女梦工厂 (日本)
pcecd prinmak2	美少女梦工厂2 (ACD, SCD)(日本)
pcecd priveyed	私家侦探 (ACD, SCD)(日本)
pcecd proyak94	超级职业棒球94 (日本)
pcecd proyaks	超级职业棒球 (日本)
pcecd proyakyu	职业棒球 (日本)
pcecd psychics	心灵风暴 (日本)
pcecd puyopuy2	噗哟噗哟CD2 (日本)
pcecd puyopuyo	噗哟噗哟CD (日本)
pcecd quiztono	问答殿样之野望 (日本)
pcecd rayxan2	宇宙空战2 (日本)
pcecd rayxan3	宇宙空战3 (日本)
pcecd rbisland	彩虹岛 (日本)
pcecd redalert	红色警戒 (日本)
pcecd rennybla	破魔法纹 (日本)
pcecd risingsn	源平之乱 (日本)
pcecd roadspir	道路精灵 (日本)
pcecd romstad	棒球体育场 (日本)
pcecd rtype	异形战机完整版 (日本)
pcecd ruin	毁灭神的遗产 (日本)
pcecd ryukoken	龙虎之拳 (日本)
pcecd sailormn	美少女战士水冰月 (日本)
pcecd sangoku3	三国志 3 (日本)
pcecd sapphire	银河妇警传说 (日本)
pcecd sdarius	超级太空战斗机 (日本)
pcecd sdarius2	超级太空战斗机2 (日本)
pcecd seisensh	圣战士传承雀卓的骑士 (日本)
pcecd seiyamon	圣夜物语 (日本)
pcecd seiyamonp	圣夜物语 [debug 版本 原型] (日本)
pcecd seiyamont	聖夜物語 体験版 (日本)
pcecd sengokuk	战国关东三国志 (日本)
pcecd sexyidof	性感偶像麻将时尚物语 (ACD, SCD)(日本)
pcecd sexyidol	性感偶像麻将 (日本)
pcecd shangh2	上海2 (日本)
pcecd shiawas2	真说幸福兔F-2 (日本)
pcecd shinmt	真女神转生 (日本)
pcecd shinonry	真・女神転生 (日本)
pcecd shinset2	真说幸福兔2 (日本)
pcecd shinsets	真说幸福兔 (日本)
pcecd slimew	黏液世界 (日本)
pcecd snatcher	诱拐者 (日本)
pcecd solbianc	太阳之船 (日本)
pcecd solidfrc	固体力量 (日本)
pcecd solmoona	太阳月亮 (日本)
pcecd sorcer	七星魔法使 (日本)
pcecd sotsugy2	卒业2 (ACD, SCD)(日本)
pcecd sotsugym	卒業写真 / 美姫 (日本)
pcecd sotsugyo	卒業 GRADUATION (日本)
pcecd spaceinv	太空侵略者 (日本)
pcecd spriggan	精灵战士 (日本)
pcecd sprowr94	新日本职业摔跤-'94东京巨蛋斗强导梦 (日本)
pcecd sraiden	超级雷电 (日本)
pcecd starbrkr	星球破坏者 (日本)
pcecd starmobi	移动星星 (日本)
pcecd startody	星环物语 (日本)
pcecd strider	出击飞龙 (日本)
pcecd summer92	夏日嘉年华'92 烈火 (日本)
pcecd summer93	夏日嘉年华'93 (日本)
pcecd supdaisn	超级大战略 (日本)
pcecd supermjt	超级麻雀大会 (日本)
pcecd swordmst	剑术大师 (日本)
pcecd sylphia	银翼女神 (日本)
pcecd taiheiki	太平记 (日本)
pcecd tecmowc	Tecmo 超级世界杯 (日本)
pcecd tenchi	天地無用!魎皇鬼 (日本)
pcecd tenchiku	吞食天地 (日本)
pcecd tengaim2	天外魔境二代 (日本)
pcecd tengaimz	天外魔境 ZIRIA (日本)
pcecd tenshiu2	天使の詩II 堕天使の選択 (日本)
pcecd tenshiut	天使之诗 (日本)
pcecd terraforj	殖民地 (CD, SCD)(日本)
pcecd tvshow	电视表演秀 (日本)
pcecd valis2	梦幻战士2 (美国)
pcecd valis3	梦幻战士3 (美国)
pcecd vanilla	美少女麻将 (CD, SCD)(日本)
pcecd vasteel	机甲作战 (美国)
pcecd vasteelj	机甲作战 (日本)
pcecd windthun	神风战机 (日本)
pcecd wizardr5	巫术5 (日本)
pcecd xak3	萨克3 (日本)
pcecd yamato	宇宙战舰大和号 (日本)
pcecd ys3	伊苏国 3 - 来自伊苏的冒险者 (美国)
pcecd ys3j	伊苏国 3 - 来自伊苏的冒险者 (日本)
pcecd ys4	伊苏4 (日本, HCD3051-4-1108-R1F)
pcecd ys4a	伊苏4 (日本, HCD3051-5-1116-R1P)
pcecd yuyu	幽游白书 (日本)
pcecd zan	斩-炎阳之时代 (日本)
pcecd zero4c2	房车大赛2 (日本)
pcecd zerowing	零风战机 (日本)
pcfx angeliq	安琪莉可女王
pcfx doukyuu2	同级生 2
pcfx firewomn	救火女郎缠组
pcw ace	飞机大战
pcw batman	蝙蝠侠 (英国)
pcw bounder	地滚球 (英国)
pcw brick	砖块
pcw corsar	私掠许可 (Spa)
pcw f1	一级方程式 (Spa)
pcw fairlig	美景 - 序曲 (英国)
pcw goody	小偷古迪 (Spa)
pcw headover	狗狗迷宫 (英国)
pcw livingst	利文斯通探险记 (Spa)
pcw lotr	指环王 (英国)
pcw matchday	比赛日 II (英国)
pcw mythos	神话 (Spa)
pcw sorcerer	黑道惊魂 (英国)
pcw soviet	苏维埃 (Spa)
pcw starglid	星际滑翔机 (英国)
pcw strpoker	脱衣扑克 (英国)
pcw tetris	俄罗斯方块 (英国)
pcw trivial	棋盘问答 (Spa)
pcw ulises	尤利西斯 (Spa)
pcw zork1	魔域1-伟大的地底王国 (英国)
pentagon_cass oldtwrp	旧塔
pet_cass batter	棒球场
pet_cass bjack	黑捷克
pet_cass dpoker	赌场扑克
pet_cass spacea	宇宙王牌
pet_cass spacei	太空侵略者
phc25_cass attack	进击者
phc25_cass blackjack	黑捷克
phc25_cass crash	赛车精灵Crash
phc25_cass invasion	入侵
pi_storyreader_cart carsger	汽车总动员 (德国)
pi_storyreader_cart nemoger	海底总动员-寻找伦莫 (德国)
pi_storyreader_cart pino	匹诺曹 (德国)
pi_storyreader_cart ppanger	铁钩船长 (德国)
pi_storyreader_cart srlimermaid	迪士尼 小美人鱼
pi_storyreader_cart srlionkng	狮子王
pi_storyreader_cart srnoahark	诺亚方舟
pi_storyreader_v2_cart ts2	玩具总动员2
picno alice	爱丽丝梦游仙境
picno kanjiclb	漢字俱楽部
pico bugslife	臭虫的一生 (日本)
pico gegege	鬼太郎-诅咒之肉人形馆 (日本)
pico magschol	斯卡拉斯特的神奇校车 (美国)
pico nintama	忍者乱太郎 (日本)
pico pocahont	风中奇缘 (欧洲)
pico pocahontb	风中奇缘 (巴西)
pico rayearth	魔法骑士雷亚斯1 (日本)
pico sailors	美少女战士S (日本)
pico sekaimg	世界名作劇場 (日本)
pico toystor2k	玩具总动员2 (韩国)
pippin aishogi	AI将棋 (日)
pippin chisatom	森高千里CD-ROM 渡良瀬橋 (日)
pippin compton	交互式百科全书 (美国)
pippin gundamwe	高达0079：地球之战 (日)
pippin hanshind	1995.1.17 阪神大震災 (日)
playmaker baskball	篮球
playmaker hockey	曲棍球
playmaker soccer	足球
pmd85_cass bdash	岩层冲刺
pmd85_cass flappy	飞扬精灵
pmd85_cass fred	弗雷德
pmd85_cass galaxia	星河战机
pmd85_cass lemm256k	旅鼠总动员 (256k)
pmd85_cass lemmings	旅鼠总动员
pmd85_cass manicmin	疯狂矿工
pmd85_cass penetrat	穿甲弹
pockchalv2 chuuchiri	中学地理 (4C)
pockchalv2 chuurika1b	中学理科 (1-bun'ya) (5L1)
pockchalv2 chuurika1ba	中学理科 (1-bun'ya) (4L1)
pockchalv2 chuurika2b	中学理科 (2-bun'ya) (5L2)
pockchalv2 chuurika2ba	中学理科 (2-bun'ya) (4L2)
princ doraemon	哆啦A梦
pro128_cass avenger	复仇者
pro128_cass beachead	滩头阵地
pro128_cass frogs	青蛙 (from Jackson Soft Compilation n. 5)
pro128_cass frogsa	青蛙 (from Jackson Soft Compilation n. 5) (替换版)
pro128_cass frogsb	青蛙 (from Jackson Soft Compilation n. 5) (替换版 2)
pro128_cass greenber	绿色兵团
pro128_cass greenbera	绿色兵团 (替换版)
pro128_cass greenberb	绿色兵团 (替换版 2)
pro128_cass karate	空手道
pro128_cass karatea	空手道 (替换版)
pro128_cass lasvegas	拉斯维加斯
pro128_cass lasvegasa	拉斯维加斯 (替换版)
pro128_cass lasvegasb	拉斯维加斯 (Single Tape)
pro128_cass lasvegasc	拉斯维加斯 (Single Tape, 替换版)
pro128_cass sorcery	巫术
pro128_cass sorcerya	巫术 (替换版)
pro128_cass sservice	寂静潜艇
pro128_cass sservicea	寂静潜艇 (替换版)
pro128_cass sserviceb	寂静潜艇 (替换版 2)
pro128_cass stennis	超级网球
pro128_cass tetris	俄罗斯方块
pro128_cass tetrisa	俄罗斯方块 (替换版)
pro128_cass tetrisb	俄罗斯方块 (替换版 2)
pro128_cass vampire	吸血鬼
pro128_cass vampirea	吸血鬼 (替换版)
pro128s_flop goal	超级得点王
pro128s_flop golf	高尔夫
pro128s_flop tetris	俄罗斯方块
psx 007rcng	007赛车 (美国)
psx 007tnd	007：明日帝国 (美国)
psx 007tndj	007：明日帝国 (日本)
psx 007twine	007-黑日危机 (美国)
psx 1000arms	千剑物语 (美国)
psx 1000armsd	千剑物语 (美国, 演示版)
psx 101dalm2	迪斯尼102斑点狗2：伦敦大冒险 (美国)
psx 102dalm	迪斯尼102斑点狗：小狗救援 (美国)
psx 10pin	大满贯保龄球 (美国)
psx 16tales2	16传说2 (美国)
psx 1903ueno	19時03分 上野発夜光列車 (日本)
psx 1xtreme	1X极限运动 (美国)
psx 2xtreme	2X极限运动 (美国)
psx 3dbball	3D棒球 (美国)
psx 3dec1	谜之戒 (美国)
psx 3dec2	木马键 (美国)
psx 3dlemmin	3D百战小旅鼠 (美国)
psx 3stooges	三个臭皮匠 (美国)
psx 3xtreme	3X极限运动 (美国)
psx 40winks	精灵大救援 (美国)
psx 5element	第五元素 (美国)
psx abeagogo	奇异世界-阿比逃亡记 (日本)
psx abeodyss	奇异世界之阿比逃亡记 (美国, v1.1)
psx abeodyssa	奇异世界之阿比逃亡记 (美国, v1.0)
psx abeodyssd	奇异世界之阿比逃亡记 (美国, 演示版)
psx abexodus	奇异世界之阿比逃亡记 (美国)
psx acecomb2	皇牌空战2v1.0 (美国)
psx acecomb3	皇牌空战3-电子领域 (美国)
psx acesair	空中王牌 (美国)
psx acid	Acid (日本)
psx aconcagu	雪岭危机 (日本)
psx actbass	低音垂钓 (美国)
psx actionmn	机动人：极限行动 (美国)
psx activcls	动视游戏合集 (美国)
psx adidas	阿迪达斯能量足球 (美国)
psx adidas98	阿迪达斯能量足球98 (美国)
psx advanrac	Advan赛车 (日本)
psx afragean	雷霆机兵2 (日本)
psx afragear	雷霆机兵 (日本)
psx aircombt	空战 (美国)
psx airgrave	空中战神 (日本)
psx airhckey	桌面冰球 (美国)
psx aitd2	鬼屋魔影 (美国)
psx aitdnn	鬼屋魔影-新的梦魇 (美国)
psx aizhosen	愛蔵版 封神演義 (日本)
psx akagawaj	赤川次郎夜想曲2 (日本)
psx akuji	蛮荒争霸 (美国)
psx alabama	时尚心理测试：阿拉巴马 (日本)
psx alicecyb	爱丽丝梦游数码天地 (日本)
psx alienres	异型4 (美国)
psx alientri	异形 (美国)
psx alive	生存 (日本)
psx alliedgn	盟军将军 (美国)
psx alundra	阿兰多拉 (美国, v1.1)
psx alundra2	阿兰拉多2-新传奇开始 (美国)
psx alundra2j	阿兰多拉2魔进化之谜 (日本)
psx alundraa	阿兰多拉 (美国, v1.0)
psx amemorie	异色记忆 (日本)
psx amenair	玩具奇兵：空中打击 (美国)
psx amenair2	玩具奇兵：空中打击2 (美国)
psx amenffrn	玩具奇兵：最后前线 (美国)
psx amengrog	玩具奇兵：绿流氓 (美国)
psx amenlsa	玩具奇兵：海陆空 (美国)
psx amensar2	玩具兵-萨基英雄2 (美国)
psx amensarg	玩具奇兵：英雄军士2 (美国)
psx amentass	玩具奇兵：世界大战团队攻袭 (美国)
psx amenwwar	玩具奇兵：世界大战 (美国)
psx amerpool	美式桌球 (美国)
psx ananjari	寵物養成 (日本)
psx andretti	明星大赛 (美国)
psx angduet	安琪莉可-二重奏 (日本)
psx angelgrf	天使涂鸦 (日本)
psx angspec	安琪莉可特别版 (日本)
psx angspec2	安琪莉可特别版2 (日本)
psx angtreq	安琪莉可：天空的镇魂曲 (日本)
psx animn10p	大满贯保龄球2 (美国)
psx animrphs	破碎的世界 (美国)
psx ankuno	学园忍者 (日本)
psx anpanmn2	儿童剧场-去吧！面包超人2 (日本)
psx apescape	捉猴啦 (美国)
psx apescaped	捉猴啦 (美国, 演示版)
psx apescapee	捉猴啦 (欧洲)
psx apescapej	捉猴啦 (日本)
psx apocalyp	启示录 (美国)
psx apowerpb	王牌大间谍弹子球 (美国)
psx aquanau2	潜水员的假日-夏之回忆 (日本)
psx aquanaut	潜水员的假日 (美国)
psx aquarian	水瓶新世纪 - 东京战争 (日本)
psx arcadea2	街机的点击：雅达利收藏2 (美国)
psx arcadeac	街机经典-雅达利合集 (美国)
psx arcadeg2	街机的点击：中途收藏2 (美国)
psx arcadegh	威廉姆斯街机精选 (美国)
psx arcadepp	街机游戏合集 (美国)
psx arcarena	妖精战士：怪兽赌博 (美国)
psx arclad	妖精战士 (美国)
psx arclad2	妖精战士2 (美国)
psx arclad3	妖精战士3 (美国)
psx arcmakof	妖精战士制作特辑 (美国)
psx area51	51区 (美国, v1.1)
psx area51a	51区 (美国, v1.0)
psx aressh5	Ａ５ Ａ列车５ (日本, Playstation the Best)
psx aresshz	Ａ列车计划Z (日本)
psx arknoi2k	打砖块R 2000 (日本)
psx armcomoa	装甲核心：斗技场之王v1.0 (美国)
psx armcopp	机战佣兵-幻影计划 (美国)
psx armcore	装甲核心 (美国, v1.1)
psx armcorea	装甲核心 (美国, v1.0)
psx armcorejd	装甲核心 (日本, 演示版)
psx armedfgt	武装格斗 (日本)
psx armorine	装甲兵器 (美国)
psx armstrng	秘密司令大作战 (日本)
psx armymn3d	玩具奇兵3D (美国)
psx artcam	艺术传 (日本, 再发行版 2002)
psx artcama	艺术传 (日本)
psx arthur	亚瑟：准备比赛 (美国)
psx asbase97	全明星棒球97 (美国)
psx asdball	全明星重击球 (美国)
psx asracin2	全明星赛车2 (美国)
psx asracing	全明星赛车 (美国)
psx assretrb	星河战队 (美国)
psx assrigs	攻击炮塔 (美国)
psx asteroid	小行星 (美国)
psx astronok	宇宙农场 (日本)
psx atariann	雅达利周年纪念版终极版 (美国)
psx athenaaw	阿西娜 (日本, Koei the Best)
psx atlantis	迪士尼亚特兰蒂斯：失落的帝国 (美国)
psx atrain	A列车,列车，权力，金钱 (美国)
psx atvmania	越野机车疯狂 (美国)
psx atvquad	越野车力量竞赛 (美国)
psx atvracer	越野机车挑战赛 (美国)
psx autodest	自动毁灭 (美国)
psx avg	VG格斗 (日本)
psx avg2	VG格斗 2 (日本, SuperLite 1500 Series)
psx awf111x	火线攻击F-111X (美国)
psx azito	秘密基地建设 (日本)
psx azito3	秘密基地建设 3 (日本)
psx azumanga	阿兹漫画大王麻将牌 (日本)
psx azuredrm	魔物之塔-蔚蓝之梦 (美国)
psx backyard	儿童足球 (美国)
psx bag	纵情跳跃 (美国)
psx bag2	纵情跳跃2 (美国)
psx bagd	纵情跳跃 (美国, 演示版)
psx bakhunmj	爆裂一族-麻将特使 (日本)
psx bakuakin	爆裂商人 宇宙豪商伝 (日本)
psx bakumats	幕末浪漫-月华剑士 (日本)
psx bakuryuu	爆流 (日本)
psx baldies	光头乐园 (美国)
psx ballblzr	室内足球 (美国)
psx ballbrk	球断路器 (美国)
psx ballerbg	围城之战：混沌城堡 (美国)
psx ballist	弹道学 (美国)
psx bam2	泡泡龙GB (美国)
psx bam4	泡泡龙4 (美国)
psx bam99	泡泡龙 (美国)
psx barbiegg	芭比：一起玩游戏吧 (美国)
psx barbiemc	芭比娃娃侦探：神秘游轮 (美国)
psx barbierr	芭比：骑马比赛 (美国)
psx barbiess	芭比：超级冲浪 (美国)
psx barbiexp	芭比：探险者 (美国)
psx baroqsyn	巴洛克风格症侯群 (日本)
psx baroque	巴洛克 - 偏差妄想 (日本)
psx baslod96	满垒96 (美国)
psx bassland	钓鲈高手 (美国)
psx bassrise	捕鱼行动 (美国)
psx bassrisej	狂钓黑巴斯 (日本)
psx batlmast	武装神姬 (日本, Major Wave Series)
psx batmanf	永远的蝙蝠侠：街机版 (美国)
psx batmnbey	永远的蝙蝠侠-小丑回归 (美国)
psx batnrob	蝙蝠侠与罗宾 (美国)
psx bbfish	钓大鱼 (美国)
psx bblade	光与刀 (美国)
psx bblade2	妖刀传2 (美国)
psx bbroscl	巴斯特兄弟合集 (美国)
psx bbtaztb	兔八哥的时间之旅 (美国)
psx bbwc	世界钓鱼锦标赛 (美国)
psx bealphar	偶然遗迹 (日本)
psx beastwar	超能勇士 (美国)
psx beatplan	音乐节拍星球 (日本)
psx beckham	大卫·贝克汉姆足球 (美国)
psx bedrockb	摩登原始人保龄球 (美国)
psx bepirate	前进！海贼 (日本)
psx berserga	装甲骑兵外传 (日本)
psx beyblade	爆转战斗陀螺 (美国)
psx beyond	BEYOND冒险 (美国)
psx bftexas	巴斯钓手 (日本)
psx bigair	大空军 (美国)
psx bighurt	法兰克汤姆斯棒球 (美国)
psx bigobas2	大巴斯2 (美国)
psx bigsbowl	全中保龄球 (美国)
psx billrds	台球 (美国)
psx biofreak	生化战士 (美国)
psx biohaz2p	生化危机2 (日本, 原型版)
psx biohaz2pa	生化危机2 (日本, 原型版, 替换版)
psx biohaz2po	生化危机2 (日本, 早期 原型版)
psx biohazp	生化危机 (日本, 原型版 19960131)
psx biohazpa	生化危机 (日本, 原型版 19951004)
psx biohazpb	生化危机 (日本, 原型版 19950804)
psx bishi	徐徐大作战 (日本, Konami the Best)
psx bishi2	徐徐大作战2 (日本)
psx bishi3	徐徐大作战 3 (日本)
psx bkvolley	排球-集中突破 (日本)
psx blackdwn	黑暗堕落 (美国)
psx blackmtx	黑色细胞 - 十字架 (日本)
psx blacross	爆破曲棍球 (美国)
psx blade	刀锋战士 (美国)
psx bladeart	刀锋艺术 - 黄昏之都 (日本)
psx blademak	鑄劍者 (日本)
psx blades2k	北美职业冰球联盟-钢铁之刃2000 (美国)
psx blastchm	爆破 (美国)
psx blasto	布雷斯特 (美国)
psx blazdrgn	雷龙 (美国)
psx bldyroar	兽化格斗 (美国)
psx bldyror2	兽化格斗2 (美国)
psx blendxbr	交融之剑 (日本)
psx blitz	美国职业橄榄球联盟-闪电战 (美国)
psx blitz2k	美国职业橄榄球联盟-闪电战2000 (美国)
psx blitz2k1	美国职业橄榄球联盟-闪电战2001 (美国)
psx blockhlp	反弹球 (日本)
psx blockids	打墙 (美国)
psx blockkz2	打砖块2 (日本)
psx bloodfac	血汗工厂 (日本)
psx blsbball	大联盟棒球 (美国)
psx bluehous	吉姆·亨森的熊贝儿蓝色的家 (美国)
psx bluemarl	黑巴斯与蓝马林 (美国)
psx bluemarlj	蓝旗鱼 (日本)
psx bluemus	蓝狗&蓝猫大型音乐会 (美国)
psx bm	节奏DJ (欧洲)
psx bm5	狂熱節拍 5th Mix (日本)
psx bmaster	超惑星战记 (美国)
psx bnbetqst	光与刀-永恒的使命 (日本)
psx bof3	龙战士3 (美国)
psx bof3j	龙战士3 (日本)
psx bof4	龙战士IV (美国)
psx bogey	不明飞行物 (美国)
psx bokukoku	我是航空管制官 (日本)
psx bombfntr	炸弹人：梦幻竞速 (美国)
psx bombisl	轰炸岛屿 (美国)
psx bombmpty	炸弹人方版 (美国)
psx bombmwld	炸弹超人：世界地图 (美国)
psx boombots	机器人轰隆隆 (美国)
psx botm997	第九届职棒大联盟97 (美国)
psx botm999	第九届职棒大联盟99 (美国)
psx bottom9	第九届职棒大联盟 (美国)
psx boundgat	界限门 (日本)
psx bowling	保龄球 (美国)
psx boxing	拳击 (美国)
psx bradius	爆炸半径 (美国)
psx brahmafc	布拉马力量 (美国)
psx bratz	贝兹 (美国)
psx braveprv	勇者之证 (日本)
psx bravesag	新世代机器人战记-勇者传说 (日本)
psx bravesg2	勇者传说2 (日本)
psx braveswd	勇者之剑 (日本)
psx bravoar	火力飞行 (美国)
psx breakout	打砖块 (美国)
psx brigandn	幻想大陆战记 (美国)
psx brkhelix	德军总部 (美国)
psx broad	热力赛车 (美国)
psx broadd	热力赛车 (美国, 演示版)
psx broadj	热力赛车 (日本)
psx brunscp2	职业保龄球2 (美国)
psx brunscpb	德国巡回保龄球赛 (美国)
psx bsbillrd	后街撞球 (美国)
psx bsword	断剑-圣堂武士之迷 (美国)
psx bsword2	断剑 2 - 烟镜 (美国)
psx btlhuntr	战地猎人 (美国)
psx btlsport	战斗运动 (美国)
psx btlstatn	战斗前线 (美国)
psx btltanx	坦克大战：攻击全世界 (美国)
psx bublbob2	魔幻气泡2 (欧洲, 原型版)
psx bublbobl	泡泡龙：彩虹岛 (美国)
psx bubsy3d	大笨猫3D (美国)
psx buckleup	全力冲刺 (日本)
psx bugi	武戏 (日本)
psx bugridrs	骑虫者国王的比赛 (美国)
psx bugsblit	兔宝宝时空历险记 (美国)
psx buildblk	建筑块 (美国)
psx burstrck	夏日滑水 (美国)
psx buttsubu	才艺对抗赛 (日本)
psx bwtmetal	变异金属百变金刚 (美国)
psx c12	C12：最后的抵抗 (美国)
psx cabbig	坎贝拉猎人 (美国)
psx cabult	坎贝拉终极鹿狩猎时节 (美国)
psx caesar2k	凯撒的宫殿：千年的黄金 (美国)
psx caesars	拉斯维加斯赌场 (美国)
psx caesars2	凯撒宫2 (美国)
psx calam1	灾难1 (美国)
psx calam2	灾难2 (美国)
psx calam3	灾难3 (美国)
psx calisgeo	卡利的地理工具 (美国)
psx captcomm	名将 (日本)
psx cardgams	纸牌游戏 (美国)
psx cardsyn	血腥格斗 (美国)
psx carnhrez	卡爾那吉之心 / 殺戮之心 (日本)
psx carnhrt	杀戮之心 (美国)
psx caromsh2	3D撞球2 (日本)
psx cartonkn	卡通君 (日本)
psx cartwld	车世界联赛 (美国)
psx casper	鬼马小灵精 (美国)
psx caspfrnd	鬼马小精灵：世界各地的朋友 (美国)
psx catinhat	爱戴帽子的猫博士 (美国)
psx cclimb2k	疯狂爬楼 2000 (日本)
psx cclimber	疯狂攀爬 (日本, Major Wave Series)
psx ccross	超时空之钥2~次元之旅 (美国)
psx celebdm	MTV的名人大乱斗 (美国)
psx centiped	蜈蚣 (美国)
psx champbas	钓鱼大赛 (美国)
psx chaoscon	混沌控制 (日本)
psx cheatsv1	金手指代码 卷 1 (美国)
psx chess	国际象棋 (美国)
psx chessm3d	西洋棋大师 (美国)
psx chessms2	西洋棋大师 (美国)
psx chickrun	小鸡快跑 (美国)
psx chmpsurf	冲浪冠军 (美国)
psx choaniki	超兄贵-究极无敌银河最强男 (日本)
psx chocodn2	陆行鸟不可思议的迷宫2 (美国)
psx chocolat	巧克力之吻 (日本)
psx chocorac	陆行鸟赛车 (美国)
psx choroqwf	可爱赛车对抗赛 (日本)
psx cielgris	黑瞳的诺雅 (日本)
psx circbeat	世界巡回赛车 (日本)
psx circbrk	新形式赛车 (美国)
psx cityolc	童梦失魂夜 (美国)
psx civ2	文明2 (美国)
psx ckmicrom	微星小超人 (日本)
